,Ticker,Company,CEO,Year,CEO PaySort ascending
2,AVGO,Broadcom Inc.,Hock Tan,2023,161826161
3,PANW,Palo Alto Networks Inc.,Nikesh Arora,2023,151425203
6,BX,Blackstone Inc.,Stephen Schwarzman,2023,119784375
7,CHTR,"Charter Communications, Inc.",Christopher Winfrey,2023,89077078
12,FICO,Fair Isaac Corp.,William Lansing,2023,66349962
13,AAPL,Apple Inc.,Tim Cook,2023,63209845
17,PLD,"Prologis, Inc.",Hamid Moghadam,2023,50891597
19,KKR,Kkr & Co. Inc.,Joseph Bae,2023,49959449
20,NFLX,Netflix Inc.,Ted Sarandos,2023,49834936
21,WBD,"Warner Bros. Discovery, Inc.",David M. Zaslav,2023,49702546
24,MSFT,Microsoft Corp.,Satya Nadella,2023,48512537
26,CRWD,"Crowdstrike Holdings, Inc.",George Kurtz,2024,46983855
27,BKNG,Booking Holdings Inc.,Glenn Fogel,2023,46720734
29,ADBE,Adobe Inc.,Shantanu Narayen,2023,44932578
32,PYPL,"Paypal Holdings, Inc.",Alex Chriss,2023,41916755
33,ROP,Roper Technologies Inc.,Neil Hunn,2023,41295585
34,CRM,"Salesforce, Inc.",Marc Benioff,2024,39642173
36,NOW,"Servicenow, Inc.",William McDermott,2023,37606244
37,TMUS,"T-Mobile US, Inc.",Michael Sievert,2023,37488851
38,XOM,Exxon Mobil Corp.,D. W. Woods,2023,36919898
43,AXP,American Express Co.,S.J. Squeri,2023,35676905
44,CMCSA,Comcast Corp.,Brian Roberts,2023,35473666
45,JPM,J.P. Morgan Chase & Co.,James Dimon,2023,35093780
46,RJF,Raymond James Financial Inc.,Paul Reilly,2023,34912956
47,LEN,Lennar Corp,Stuart Miller,2023,34284913
48,DAL,"Delta Air Lines, Inc.",Edward Bastian,2023,34214328
49,NVDA,Nvidia Corp.,Jen-Hsun Huang,2024,34167902
50,PEP,Pepsico Inc.,Ramon Laguarta,2023,33906212
51,MS,Morgan Stanley,James Gorman,2023,32951606
52,NKE,"Nike, Inc.",John Donahoe II,2023,32789885
53,BA,Boeing Co.,David Calhoun,2023,32770519
58,CSCO,"Cisco Systems, Inc.",Charles Robbins,2023,31843708
60,DIS,Walt Disney Co.,Robert A. Iger,2023,31587166
61,ACN,Accenture PLC,Julie Sweet,2023,31550906
65,TECH,Bio-Techne Corp.,Charles Kummeth,2023,30584644
67,AMD,Advanced Micro Devices Inc.,Lisa T. Su,2023,30348281
69,VLO,Valero Energy Corp.,Joseph Gorder,2023,30037638
72,CSGP,"Costar Group, Inc.",Andrew Florance,2023,29176180
73,IQV,Iqvia Holdings Inc.,Ari Bousbib,2023,29151752
77,ALGN,Align Technology Inc.,Joseph Hogan,2023,28952411
79,COF,Capital One Financial Corp.,Richard Fairbank,2023,28589573
80,BAC,Bank of America Corp.,Brian Moynihan,2023,28571192
81,JNJ,Johnson & Johnson,Joaquin Duato,2023,28397240
82,AMP,Ameriprise Financial Inc.,James Cracchiolo,2023,28378031
83,MSI,"Motorola Solutions, Inc.",Gregory Brown,2023,28178498
85,CHRW,"C. H. Robinson Worldwide, Inc.",David Bozeman,2023,27966653
87,GM,General Motors Co,Mary Barra,2023,27847405
88,CB,Chubb Ltd.,Evan Greenberg,2023,27661317
89,ICE,"Intercontinental Exchange, Inc.",Jeffrey Sprecher,2023,27550872
90,SRE,Sempra Energy,Jeffrey Martin,2023,27421881
91,INTU,Intuit Inc.,Sasan Goodarzi,2023,27305429
93,WMT,Walmart Inc.,Doug McMillon,2024,26968924
94,BLK,Blackrock Inc.,Laurence Fink,2023,26939474
95,AMAT,Applied Materials Inc.,Gary Dickerson,2023,26854544
97,DE,Deere & Co.,John C. May,2023,26722519
98,GS,Goldman Sachs Group Inc.,David Solomon,2023,26670817
100,KLAC,KLA Corp.,Richard Wallace,2023,26644359
101,LLY,Eli Lilly & Co,David Ricks,2023,26565732
102,HLT,Hilton Worldwide Holdings Inc.,Christopher Nassetta,2023,26556464
103,CVX,Chevron Corp.,M.K. Wirth,2023,26489856
104,F,Ford Motor Co.,James Farley,2023,26470033
105,FE,Firstenergy Corp.,Brian Tierney,2023,26452616
106,T,AT&T Inc.,John T. Stankey,2023,26450157
110,WFC,Wells Fargo & Company,Charles Scharf,2023,25966198
112,CAT,Caterpillar Inc.,James Umpleby,2023,25830332
113,MA,Mastercard Inc.,Michael Miebach,2023,25746498
115,ABBV,Abbvie Inc.,Richard A. Gonzalez,2023,25661972
116,ADI,Analog Devices Inc.,Vincent Roche,2023,25543635
118,PM,Philip Morris International Inc.,Jacek Olczak,2023,25480514
119,C,Citigroup Inc.,Jane Fraser,2023,25458313
122,MU,Micron Technology Inc.,Sanjay Mehrotra,2023,25276953
126,KO,Coca Cola Co.,James Quincey,2023,24742908
127,NOC,Northrop Grumman Corp.,Kathy Warden,2023,24737493
128,ANSS,Ansys Inc.,Ajei Gopal,2023,24633791
129,AIG,"American International Group, Inc.",Peter Zaffino,2023,24617936
130,ADM,Archer-Daniels-Midland Co,Juan Ricardo Luciano,2023,24414668
131,META,"Meta Platforms, Inc.",Mark Zuckerberg,2023,24399968
132,UBER,"Uber Technologies, Inc.",Dara Khosrowshahi,2023,24248209
133,MPC,Marathon Petroleum Corp.,Michael Hennigan,2023,24054492
135,FCX,Freeport-mcmoran Inc.,Richard Adkerson,2023,24017321
136,EQIX,Equinix Inc.,Charles Meyers,2023,23927452
137,SCHW,Schwab Charles Corp.,Walter Bettinger II,2023,23871744
138,TDG,Transdigm Group Inc.,Kevin Stein,2023,23845374
141,AON,AON PLC,Gregory Case,2023,23661834
143,UNH,UnitedHealth Group Inc.,Andrew Witty,2023,23534936
145,SO,Southern Co.,Christopher Womack,2023,23520387
146,QCOM,Qualcomm Inc.,Cristiano Amon,2023,23490335
147,CME,Cme Group Inc.,Terrence Duffy,2023,23468000
148,LYV,"Live Nation Entertainment, Inc.",Michael Rapino,2023,23438317
149,UPS,United Parcel Service Inc.,Carol Tomé,2023,23390051
150,ABT,Abbott Laboratories,Robert Ford,2023,23268171
153,USB,US Bancorp,Andrew Cecere,2023,22916957
154,TT,Trane Technologies PLC,Dave Regnery,2023,22856344
156,LMT,Lockheed Martin Corp.,James Taiclet,2023,22813775
157,TRV,"Travelers Companies, Inc.",Alan Schnitzer,2023,22730072
158,MAR,Marriott International Inc.,Anthony Capuano,2023,22664045
159,AMGN,Amgen Inc.,Robert Bradway,2023,22643650
160,GILD,"Gilead Sciences, Inc.",Daniel O’Day,2023,22607690
161,V,Visa Inc.,Ryan McInerney,2023,22604568
162,GD,General Dynamics Corp.,Phebe Novakovic,2023,22582776
163,CTSH,Cognizant Technology Solutions Corp.,Ravi Kumar Current,2023,22563405
164,ITW,Illinois Tool Works Inc.,Scott Santi,2023,22507817
165,NUE,Nucor Corp.,Leon Topalian,2023,22500626
166,CMG,Chipotle Mexican Grill Inc.,Brian Niccol,2023,22473427
167,TJX,Tjx Companies Inc.,Ernie Herrman,2024,22222769
168,APD,"Air Products & Chemicals, Inc.",Seifi Ghasemi,2023,22078099
170,LVS,Las Vegas Sands Corp.,Robert Goldstein,2023,21937818
171,RTX,Raytheon Technologies Corp.,Gregory Hayes,2023,21929459
173,EL,Estee Lauder Companies Inc.,Fabrizio Freda,2023,21811244
174,FOXA,Fox Corp.,Lachlan Murdoch,2023,21777902
175,PG,Procter & Gamble Co,Jon Moeller,2023,21715625
176,BKR,Baker Hughes Co,Lorenzo Simonelli,2023,21680736
178,CVS,CVS Health Corp.,Karen Lynch,2023,21615034
180,PFE,Pfizer Inc.,Albert Bourla,2023,21562064
181,EBAY,Ebay Inc.,Jamie Iannone,2023,21560669
183,MOH,"Molina Healthcare, Inc.",Joseph Zubretsky,2023,21491723
184,XEL,Xcel Energy Inc.,Bob Frenzel,2023,21357168
185,HCA,"Hca Healthcare, Inc.",Samuel Hazen,2023,21315984
186,YUM,Yum Brands Inc.,David Gibbs,2023,21238955
189,NXPI,NXP Semiconductors N.v.,Kurt Sievers,2023,21123742
191,CI,Cigna Group,David M. Cordani,2023,21047255
192,MDLZ,"Mondelez International, Inc.",Van de Put Dirk,2023,21018175
193,DHR,Danaher Corp.,Rainer Blair,2023,20903282
194,TXN,Texas Instruments Inc.,Richard Templeton,2023,20892318
195,DOW,Dow Inc.,Jim Fitterling,2023,20829446
197,COP,ConocoPhillips,R.M. Lance,2023,20770673
198,SYK,Stryker Corp.,Kevin Lobo,2023,20767847
200,AFL,AFLAC Inc.,Daniel Amos,2023,20703253
201,EA,Electronic Arts Inc.,Andrew Wilson,2023,20659002
203,VRTX,Vertex Pharmaceuticals Inc / MA,Reshma Kewalramani,2023,20594441
204,NEE,Nextera Energy Inc.,John Ketchum,2023,20591124
205,DUK,Duke Energy Corp.,Lynn Good,2023,20559875
206,MET,Metlife Inc.,Michel Khalaf,2023,20526009
208,ETN,Eaton Corp PLC,Craig Arnold,2023,20493989
210,IBM,International Business Machines Corp.,A. Krishna,2023,20398426
211,TXT,Textron Inc.,Scott Donnelly,2023,20391762
212,LW,"Lamb Weston Holdings, Inc.",Thomas Werner,2023,20352276
215,MRK,"Merck & Co., Inc.",Robert Davis,2023,20273287
217,MCK,Mckesson Corp.,Brian Tyler,2023,20221325
220,OMC,Omnicom Group Inc.,John Wren,2023,20150620
223,HPE,Hewlett Packard Enterprise Co,Antonio Neri,2023,20066549
224,ON,ON Semiconductor Corp.,Hassane El-Khoury,2023,19965513
225,PNC,"PNC Financial Services Group, Inc.",William Demchak,2023,19950306
226,HAL,Halliburton Co.,Jeffrey Miller,2023,19911392
227,DD,"Dupont de Nemours, Inc.",Edward Breen,2023,19854971
228,LHX,"L3Harris Technologies, Inc.",Christopher Kubasik,2023,19824247
233,AMT,American Tower Corp,Thomas Bartlett,2023,19709245
234,BMY,Bristol Myers Squibb Co.,Giovanni Caforio,2023,19661434
236,ENPH,"Enphase Energy, Inc.",Badrinarayanan Kothandaraman,2023,19527534
237,SPGI,S&P Global Inc.,Douglas Peterson,2023,19506412
239,HPQ,HP Inc.,Enrique Lores,2023,19458431
240,FIS,"Fidelity National Information Services, Inc.",Stephanie L. Ferris,2023,19435522
241,PSX,Phillips 66,Mark Lashier,2023,19409262
242,BWA,Borgwarner Inc.,Frédéric Lissalde,2023,19308195
245,NWSA,News Corp.,Robert Thomson,2023,19277292
246,PRU,Prudential Financial Inc.,Charles F. Lowrey,2023,19213328
247,TGT,Target Corp.,Brian Cornell,2023,19203353
248,LIN,Linde PLC,Sanjiv Lamba,2023,19200255
249,SYF,Synchrony Financial,Brian Doubles,2023,19175684
250,MCD,Mcdonalds Corp.,Christopher Kempczinski,2023,19155001
251,MMC,"Marsh & Mclennan Companies, Inc.",John Doyle,2023,19054956
252,TMO,Thermo Fisher Scientific Inc.,Marc Casper,2023,18976669
257,ES,Eversource Energy,Joseph Nolan,2023,18885577
261,AZO,Autozone Inc.,William Rhodes,2023,18796822
263,CAH,Cardinal Health Inc.,Jason Hollar,2023,18776433
265,BSX,Boston Scientific Corp.,Michael Mahoney,2023,18723735
266,CAG,Conagra Brands Inc.,Sean Connolly,2023,18720100
267,CZR,"Caesars Entertainment, Inc.",Thomas Reeg,2023,18610359
269,UAL,"United Airlines Holdings, Inc.",Scott Kirby,2023,18573299
270,CNC,Centene Corp.,Sarah London,2023,18556966
272,MO,"Altria Group, Inc.",William Gifford,2023,18528628
276,NDAQ,"Nasdaq, Inc.",Adena Friedman,2023,18498752
277,MLM,Martin Marietta Materials Inc.,C. Howard Nye,2023,18488885
279,CBRE,"Cbre Group, Inc.",Robert Sulentic,2023,18358834
282,EMR,Emerson Electric Co.,Lal Karsanbhai,2023,18317194
283,LRCX,Lam Research Corp.,Timothy Archer,2023,18310099
286,SLB,Schlumberger Limited/nv,Olivier Le Peuch,2023,18249585
288,LOW,Lowes Companies Inc.,Marvin Ellison,2023,18162272
290,ROST,"Ross Stores, Inc.",Barbara Rentler,2023,18094944
291,APTV,Aptiv PLC,Kevin Clark,2023,18000136
293,MNST,Monster Beverage Corp.,Rodney Sacks,2023,17875482
296,OXY,Occidental Petroleum Corp.,Vicki Hollub,2023,17735019
298,CARR,Carrier Global Corp.,David Gitlin,2023,17695200
299,HST,"Host Hotels & Resorts, Inc.",James Risoleo,2023,17694586
300,FTV,Fortive Corp.,James Lico,2023,17659164
301,ADSK,"Autodesk, Inc.",Andrew Anagnost,2023,17600752
302,EMN,Eastman Chemical Co.,Mark Costa,2023,17597890
303,BG,Bunge Global SA,Gregory Heckman,2023,17587870
304,FANG,"Diamondback Energy, Inc.",Travis D. Stice,2023,17583386
306,WMB,"Williams Companies, Inc.",Alan Armstrong,2023,17548802
307,COR,Cencora,Steven H. Collis,2023,17511240
310,CDNS,Cadence Design Systems Inc.,Anirudh Devgan,2023,17341862
312,BDX,Becton Dickinson & Co.,Thomas Polen,2023,17309938
314,SWKS,"Skyworks Solutions, Inc.",Liam Griffin,2023,17261436
315,RCL,Royal Caribbean Cruises Ltd.,Jason Liberty,2023,17216276
316,WELL,Welltower Inc.,Shankh Mitra,2023,17199891
318,CL,Colgate Palmolive Co.,Noel Wallace,2023,17121584
320,MRNA,"Moderna, Inc.",Stéphane Bancel,2023,17068514
323,GEHC,GE HealthCare,Peter J. Arduini,2023,17042211
325,K,Kellogg Co.,Steve Cahillane,2023,17038641
326,MGM,Mgm Resorts International,William Hornbuckle,2023,17003794
328,PCG,PG&E Corp.,Patricia Poppe,2023,16994840
331,COST,Costco Wholesale,Craig Jelinek,2023,16870623
332,INTC,Intel Corp.,Patrick P. Gelsinger,2023,16855400
333,WRB,Berkley W R Corp.,Robert Berkley,2023,16813566
334,BK,Bank of New York Mellon Corp.,Robin Vince,2023,16801167
335,DOV,Dover Corp.,Richard Tobin,2023,16795101
337,ROK,"Rockwell Automation, Inc.",Blake Moret,2023,16765020
339,HES,Hess Corp.,John Hess,2023,16750203
342,TEL,TE Connectivity Ltd.,Terrence R. Curtin,2023,16717748
343,INCY,Incyte Corp.,Hervé Hoppenot,2023,16659526
347,LYB,Lyondellbasell Industries,Peter Vanacker,2023,16546194
350,KMB,Kimberly Clark Corp.,Michael Hsu,2023,16528052
352,LULU,Lululemon Athletica Inc.,Calvin McDonald,2023,16494777
353,ALL,Allstate Corp.,Thomas Wilson,2023,16487957
354,MMM,3M Co.,Michael Roman,2023,16424566
356,HIG,"Hartford Financial Services Group, Inc.",Christopher Swift,2023,16408250
357,PH,Parker Hannifin Corp.,Jennifer Parmentier,2023,16404346
358,GIS,General Mills Inc.,Jeffrey Harmening,2023,16385646
359,HUM,Humana Inc.,Bruce Broussard,2023,16327384
361,FTNT,"Fortinet, Inc.",Ken Xie,2023,16301613
362,IT,Gartner Inc.,Eugene Hall,2023,16299489
364,CNP,Centerpoint Energy Inc.,David Lesar,2023,16204475
366,ED,Consolidated Edison Inc.,Timothy P. Cawley,2023,16176871
368,WYNN,Wynn Resorts Ltd,Craig Billings,2023,16152634
374,MTCH,"Match Group, Inc.",Bernard Kim,2023,16080272
375,STZ,"Constellation Brands, Inc.",William Newlands,2023,16068340
376,A,"Agilent Technologies, Inc.",Michael McMullen,2023,16023410
377,GPN,Global Payments Inc.,Cameron Bready,2023,16000483
378,LH,Laboratory Corp of America Holdings,Adam Schechter,2023,15979355
381,VTRS,Viatris Inc.,Scott Smith,2023,15930409
383,OTIS,Otis Worldwide Corp.,Judy Marks,2023,15924194
385,JCI,Johnson Controls International PLC,George Oliver,2023,15882646
387,GDDY,Godaddy Inc.,Aman Bhutani,2023,15877217
393,DXCM,Dexcom Inc.,Kevin R. Sayer,2023,15712244
394,KR,Kroger Co.,Rodney McMullen,2023,15710572
395,BEN,Franklin Resources Inc.,Jennifer Johnson,2023,15694227
397,PCAR,Paccar Inc.,Preston Feight,2023,15658665
399,HSY,Hershey Co.,Ms. Buck,2023,15654209
400,PGR,Progressive Corp.,Susan Patricia Griffith,2023,15636618
401,GLW,Corning,Wendell Weeks,2023,15627653
403,PTC,PTC Inc.,James Heppelmann,2023,15617171
407,SPG,Simon Property Group Inc.,David Simon,2023,15564307
408,ANET,"Arista Networks, Inc.",Jayshree Ullal,2023,15561987
