,Ticker,Company,CEO,Year,CEO PaySort ascending
409,HOLX,Hologic Inc.,Stephen MacMillan,2023,15555032
410,UNP,Union Pacific Corp.,Lance Fritz,2023,15552576
411,ECL,Ecolab Inc.,Christophe Beck,2023,15547055
414,IR,Ingersoll Rand Inc.,Vicente Reynal,2023,15523750
416,AJG,Arthur J. Gallagher & Co.,Pat Gallagher,2023,15496222
417,WAB,Westinghouse Air Brake Technologies Corp.,Rafael Santana,2023,15493240
418,ARE,"Alexandria Real Estate Equities, Inc.",Joel Marcus,2023,15485330
425,MDT,Medtronic PLC,Geoffrey Martha,2023,15394633
432,ZTS,Zoetis Inc.,Kristin Peck,2023,15237853
433,PKG,Packaging Corp of America,Mark Kowlzan,2023,15228190
435,CEG,Constellation Energy Corp.,Joseph Dominguez,2023,15185385
437,PFG,Principal Financial Group Inc.,Daniel Houston,2023,15118828
438,HAS,"Hasbro, Inc.",Chris Cocks,2023,15110869
441,TRMB,Trimble Inc.,Robert Painter,2023,14954642
443,DVN,Devon Energy Corp.,Richard Muncrief,2023,14883151
444,EIX,Edison International,Pedro Pizarro,2023,14881111
445,IRM,Iron Mountain Inc.,William Meaney,2023,14867140
452,GE,General Electric Co.,Lawrence Culp,2023,14698285
455,CCI,Crown Castle Inc.,Jay Brown,2023,14676171
456,MPWR,Monolithic Power Systems Inc.,Michael Hsing,2023,14643469
457,WM,Waste Management Inc.,"James C. Fish, Jr",2023,14628854
458,PWR,"Quanta Services, Inc.","Earl C. (Duke) Austin, Jr.",2023,14624532
460,SBUX,Starbucks Corp.,Laxman Narasimhan,2023,14604531
463,EOG,Eog Resources Inc.,Ezra Yacob,2023,14558772
464,CTRA,Coterra Energy Inc.,Thomas Jorden,2023,14547853
465,AME,Ametek,David Zapico,2023,14538544
466,TPR,"Tapestry, Inc.",Joanne Crevoiserat Interim,2023,14489503
467,ALB,Albemarle Corp.,Kent Masters,2023,14472114
468,RL,Ralph Lauren Corp.,Patrice Louvet,2023,14471356
469,BBY,Best Buy CO Inc.,Corie Barry,2024,14443881
470,IPG,"Interpublic Group OF Companies, Inc.",Philippe Krakowsky,2023,14441360
472,HD,"Home Depot, Inc.",Edward Decker,2023,14419252
473,UHS,Universal Health Services Inc.,Marc Miller,2023,14407937
475,MCO,Moodys Corp.,Robert Fauber,2023,14387659
482,SYY,Sysco Corp.,Kevin Hourican,2023,14341020
489,TRGP,Targa Resources Corp.,Matthew Meloy,2023,14191630
490,DHI,Horton D R Inc.,Paul J. Romanowski,2023,14189342
492,WBA,"Walgreens Boots Alliance, Inc.",Rosalind Brewer,2023,14134190
494,HII,"Huntington Ingalls Industries, Inc.",Christopher Kastner,2023,14100619
495,CRL,"Charles River Laboratories International, Inc.",James Foster,2023,14096924
496,KVUE,Kenvue,Thibaut Mongon,2023,14089158
497,CSX,CSX Corp.,Joseph Hinrichs,2023,14074235
500,KIM,Kimco Realty Corp.,Conor Flynn,2023,13951194
504,SWK,"Stanley Black & Decker, Inc.",Donald Allan,2023,13877644
505,RMD,Resmed Inc.,Michael Farrell,2023,13868641
511,CCL,Carnival Corp.,Josh Weinstein,2023,13808603
512,MSCI,MSCI Inc.,Henry Fernandez,2023,13793145
513,BAX,Baxter International Inc.,José Almeida,2023,13786671
514,APA,APA Corp.,John Christmann,2023,13763441
519,JNPR,Juniper Networks Inc.,Rami Rahim,2023,13646142
522,DAY,Dayforce,David D. Ossip,2023,13591865
527,VMC,Vulcan Materials Co.,Thomas Hill,2023,13530753
528,VTR,"Ventas, Inc.",Debra Cafaro,2023,13520625
531,COO,"Cooper Companies, Inc.",Albert White,2023,13490923
535,STT,State Street Corp.,Ronald O’Hanley,2023,13449164
539,NSC,Norfolk Southern Corp.,Alan Shaw,2023,13418978
543,AKAM,Akamai Technologies Inc.,Dr. Leighton,2023,13384975
548,FDX,Fedex Corp.,Rajesh Subramaniam,2023,13249823
549,CTVA,"Corteva, Inc.",Charles Magro,2023,13234872
552,TSN,"Tyson Foods, Inc.",Donnie King,2023,13180119
555,O,Realty Income Corp.,Sumit Roy,2023,13128810
556,NRG,"NRG Energy, Inc.",Mauricio Gutierrez,2023,13128160
558,ACGL,Arch Capital Group Ltd.,Marc Grandisson,2023,13102252
561,EFX,Equifax Inc.,Mark Begor,2023,13049808
563,WY,Weyerhaeuser Co.,Devin Stockfish,2023,13022431
565,CE,Celanese Corp.,Lori Ryerkerk,2023,12972962
566,BXP,Boston Properties Inc.,Owen Thomas,2023,12963964
568,CF,"CF Industries Holdings, Inc.",Anthony Will,2023,12899559
569,EW,Edwards Lifesciences Corp.,Mr. Zovighian,2023,12869020
571,CMI,Cummins Inc.,Jennifer Rumsey,2023,12846068
572,IP,International Paper CO,Mark Sutton,2023,12845526
575,TROW,Price T Rowe Group Inc.,Robert Sharps,2023,12841931
578,ZBH,"Zimmer Biomet Holdings, Inc.",Bryan Hanson,2023,12761312
582,AES,AES Corp.,Andrés Gluski,2023,12716194
584,DGX,Quest Diagnostics Inc.,James Davis,2023,12673834
585,WTW,Willis Towers Watson,Carl Hess,2023,12668832
586,ULTA,"Ulta Beauty, Inc.",David Kimbell,2023,12663880
595,PHM,Pultegroup Inc.,Ryan Marshall,2023,12530908
599,MAS,Masco Corp.,Keith Allman,2023,12476381
602,ISRG,Intuitive Surgical Inc.,Gary Guthart,2023,12449381
605,KMI,"Kinder Morgan, Inc.",Kimberly Dang,2023,12405510
609,PODD,Insulet Corp.,James Hollingshead,2023,12379765
610,DLR,"Digital Realty Trust, Inc.",Andrew Power,2023,12355560
616,EXR,Extra Space Storage Inc.,Joseph Margolis,2023,12280701
617,MCHP,Microchip Technology Inc.,Ganesh Moorthy,2023,12276315
618,EXC,Exelon Corp.,Calvin Butler,2023,12266720
619,KMX,Carmax Inc.,William Nash,2024,12257314
621,VRSN,Verisign Inc.,James Bidzos,2023,12245901
623,BR,"Broadridge Financial Solutions, Inc.",Timothy Gokey,2023,12235278
625,TAP,Molson Coors Beverage Co.,Gavin D.K. Hattersley,2023,12210558
628,LKQ,LKQ Corp.,Dominick Zarcone,2023,12189021
639,TFC,Truist Financial Corp.,William Rogers,2023,12037646
644,PPL,PPL Corp.,Vincent Sorgi,2023,11969556
650,MOS,Mosaic Co.,James O RourkeJoc,2023,11881204
651,IVZ,Invesco Ltd.,Andrew Schlossberg,2023,11864931
653,STLD,Steel Dynamics Inc.,Mark Millett,2023,11823662
656,RSG,"Republic Services, Inc.",Jon Vander Ark,2023,11812059
661,PEG,Public Service Enterprise Group Inc.,Ralph LaRossa,2023,11778863
662,UDR,"UDR, Inc.",Thomas Toomey,2023,11755015
663,NEM,Newmont Corp.,Tom Palmer,2023,11747104
666,CPB,Campbell Soup Co.,Mark Clouse,2023,11699822
673,CLX,Clorox CO,Linda Rendle,2023,11649650
678,IDXX,Idexx Laboratories Inc.,Jonathan Mazelsky,2023,11519309
685,STX,Seagate Technology Holdings PLC,William Mosley,2023,11436208
687,GPC,Genuine Parts Co.,Paul Donahue,2023,11398274
688,DECK,Deckers Outdoor Corp.,Dave Powers,2023,11391476
689,TSCO,Tractor Supply Co,Harry Lawton,2023,11374666
690,NTAP,"Netapp, Inc.",George Kurian a b,2023,11370423
692,EQR,Equity Residential,Mark Parrell,2023,11361059
693,KHC,Kraft Heinz Co,Miguel Patricio,2023,11359250
697,SJM,J M Smucker Co,Mark Smucker,2023,11348537
703,VICI,Vici Properties Inc.,Edward Pitoniak,2023,11277678
704,SBAC,SBA Communications Corp.,Jeffrey Stoops,2023,11261032
705,ZBRA,Zebra Technologies Corp.,William Burns,2023,11259895
710,CHD,Church & Dwight CO Inc.,Matthew Farrell,2023,11182166
717,CFG,Citizens Financial Group Inc.,Bruce Van Saun,2023,11075271
722,WDC,Western Digital Corp.,David Goeckeler,2023,11031692
725,URI,"United Rentals, Inc.",Matthew Flannery,2023,11002256
730,APH,Amphenol Corp.,R.A. Norwitt,2023,10944707
732,J,Jacobs Solutions Inc.,Robert Pragada,2023,10898649
738,FFIV,"F5, Inc.",François Locoh-Donou,2023,10856766
744,XYL,Xylem Inc.,Patrick Decker,2023,10825450
746,VZ,Verizon Communications Inc.,Kyle Malady,2023,10810203
752,KEYS,"Keysight Technologies, Inc.",Satish Dhanasekaran,2023,10750924
753,IFF,International Flavors & Fragrances Inc.,"Frank K. Clyburn, Jr",2023,10747653
759,ADP,Automatic Data Processing Inc.,Maria Black,2023,10682318
766,AEP,American Electric Power CO Inc.,Julia A. Sloat,2023,10633745
771,EQT,EQT Corp.,Toby Rice,2023,10600926
774,SNA,Snap-on Inc.,Nicholas Pinchuk,2023,10574757
782,VST,Vistra Corp.,James Burke,2023,10453376
783,JKHY,Henry Jack & Associates Inc.,David Foss,2023,10439026
789,INVH,Invitation Homes Inc.,Dallas Tanner,2023,10393322
790,ETR,Entergy Corp.,Andrew Marsh,2023,10373208
792,VRSK,"Verisk Analytics, Inc.",Lee Shavel,2023,10366566
796,AIZ,"Assurant, Inc.",Keith Demmings,2023,10331024
803,DTE,DTE Energy Co.,Gerardo Norcia,2023,10278098
806,KEY,Keycorp,Christopher Gorman,2023,10268718
809,JBL,Jabil Inc.,Kenneth Wilson,2023,10237971
817,HBAN,Huntington Bancshares Inc.,Stephen Steinour,2023,10179479
818,NTRS,Northern Trust Corp.,Michael O’Grady,2023,10174760
820,GWW,"W.W. Grainger, Inc.",D.G. Macpherson,2023,10160673
824,DPZ,Dominos Pizza Inc.,Russell Weiner,2023,10135862
830,TER,"Teradyne, Inc.",Gregory Smith,2023,10110437
833,SHW,Sherwin Williams Co.,Heidi Petz,2023,10085512
836,SNPS,Synopsys Inc.,Sassine Ghazi,2023,10067991
844,PNR,Pentair PLC,John Stauch,2023,10008469
846,HSIC,Henry Schein Inc.,Stanley M. Bergman,2023,10005729
864,PPG,PPG Industries Inc.,T. M. Knavish,2023,9840723
874,BRO,"Brown & Brown, Inc.",Powell Brown,2023,9786745
878,LNT,Alliant Energy Corp.,John Larsen,2023,9709782
884,HUBB,Hubbell Inc.,Gerben Bakker,2023,9666284
888,CMS,CMS Energy Corp.,Garrick Rochow,2023,9637210
889,FMC,FMC Corp.,Mark Douglas,2023,9623437
898,WEC,"Wec Energy Group, Inc.",Scott Lauber,2023,9552179
900,OKE,Oneok Inc.,Pierce Norton II,2023,9547574
904,ODFL,"Old Dominion Freight Line, Inc.",Kevin M. Freeman,2023,9496611
909,AVB,Avalonbay Communities Inc.,Benjamin Schall,2023,9479687
918,WST,West Pharmaceutical Services Inc.,Eric M. Green,2023,9395896
919,FITB,Fifth Third Bancorp,Timothy Spence,2023,9385726
920,MTB,M&T Bank Corp.,René F. Jones,2023,9385557
927,PNW,Pinnacle West Capital Corp.,Jeffrey Guldner,2023,9322192
930,LUV,Southwest Airlines Co.,Robert Jordan,2023,9307298
931,REG,Regency Centers Corp.,Lisa Palmer,2023,9269035
937,RF,Regions Financial Corp.,John Turner,2023,9217718
938,NI,Nisource Inc.,Lloyd Yates,2023,9216680
945,LDOS,"Leidos Holdings, Inc.",Thomas Bell,2023,9187541
959,TFX,Teleflex Inc.,Liam Kelly,2023,9039947
960,TYL,Tyler Technologies Inc.,Lynn Moore,2023,9028592
962,CDW,CDW Corp.,Christine Leahy,2023,9020376
964,AEE,Ameren Corp.,Martin Lyons,2023,9009431
965,ALLE,Allegion PLC,John Stone,2023,8997445
966,DG,Dollar General Corp.,Todd Vasos,2023,8980117
972,FRT,Federal Realty Investment Trust,Donald Wood,2023,8941820
990,NCLH,Norwegian Cruise Line Holdings Ltd.,Harry Sommer,2023,8864592
997,GOOG,Alphabet Inc.,Sundar Pichai,2023,8802824
1000,PSA,Public Storage,Joseph Russell,2023,8776291
1003,AOS,Smith A O Corp.,Kevin Wheeler,2023,8756656
1007,WAT,Waters Corp.,Udit Batra,2023,8742180
1030,TDY,Teledyne Technologies Inc.,Robert Mehrabian,2023,8557552
1037,DRI,Darden Restaurants Inc.,Ricardo Cardenas,2023,8500029
1049,MTD,Mettler Toledo International Inc.,Patrick Kaltenbach,2023,8417336
1055,CINF,Cincinnati Financial Corp.,Steven J. Johnston,2023,8381511
1057,CBOE,"Cboe Global Markets, Inc.",Fredric J. Tomczyk,2023,8366510
1064,MKTX,Marketaxess Holdings Inc.,Christopher Concannon,2023,8293086
1074,JBHT,Hunt J B Transport Services Inc.,John Roberts,2023,8256333
1086,REGN,"Regeneron Pharmaceuticals, Inc.",Leonard S. Schleifer,2023,8184338
1097,BLDR,"Builders Firstsource, Inc.",David Rush,2023,8105991
1098,ATO,Atmos Energy Corp.,Kevin Akers,2023,8104362
1110,MAA,Mid America Apartment Communities Inc.,Eric Bolton,2023,8015765
1137,ERIE,Erie Indemnity Co.,Timothy NeCastro,2023,7824320
1150,IEX,Idex Corp.,Eric D. Ashleman,2023,7758876
1156,STE,Steris PLC,Daniel Carestio,2023,7740184
1160,FSLR,"First Solar, Inc.",Mark Widmar,2023,7725497
1165,AWK,"American Water Works Company, Inc.",Susan Hardwick,2023,7720825
1180,KDP,Keurig Dr Pepper Inc.,Robert Gamgort,2023,7620095
1195,CTAS,Cintas Corp.,Todd Schneider,2023,7570256
1198,EPAM,"Epam Systems, Inc.",Arkadiy Dobkin,2023,7545130
1212,EXPD,Expeditors International OF Washington Inc.,Jeffrey Musser,2023,7453361
1225,HWM,Howmet Aerospace Inc.,John Plant,2023,7344588
1228,AMCR,Amcor PLC,Ron Delia,2023,7305995
1248,GL,Globe Life Inc.,Frank Svoboda,2023,7206071
1263,EVRG,"Evergy, Inc.",David Campbell,2023,7138724
1271,GNRC,Generac Holdings Inc.,Aaron Jagdfeld,2023,7084966
1297,NDSN,Nordson Corp.,Sundaram Nagarajan,2023,6981645
1308,L,Loews Corp.,James Tisch,2023,6918337
1311,CPT,Camden Property Trust,Richard Campo,2023,6911304
1321,FDS,Factset Research Systems Inc.,Philip Snow,2023,6862015
1333,HRL,Hormel Foods Corp.,James Snee,2023,6785979
1349,DVA,Davita Inc.,Javier Rodriguez,2023,6712328
1358,PAYX,Paychex Inc.,John Gibson,2023,6680180
1383,ROL,Rollins Inc.,Gary W. Rollins,2023,6573646
1387,GRMN,Garmin Ltd,Clifton Pemble,2023,6540666
1438,D,"Dominion Energy, Inc.",Robert Blue,2023,6278835
1471,VLTO,Veralto,Jennifer L. Honeycutt,2023,6140635
1478,TPL,Texas Pacific Land Corp.,Tyler Glover,2023,6108717
1479,POOL,Pool Corp.,Peter Arvan,2023,6103488
1484,AVY,Avery Dennison Corp.,Deon Stander,2023,6070962
1598,ORLY,O Reilly Automotive Inc.,Greg Johnson,2023,5603352
1673,ORCL,Oracle Corp.,Safra Catz,2023,5250680
1682,MKC,Mccormick & CO Inc.,Brendan Foley,2023,5213172
1733,LII,Lennox International Inc.,Alok Maskara,2023,4983663
1751,HON,Honeywell International Inc.,James Currier,2023,4895383
1778,DOC,Physicians Realty Trust,John Thomas,2023,4807847
1870,MHK,Mohawk Industries Inc.,Jeffrey Lorberbaum,2023,4428417
1939,BIIB,Biogen Inc.,Christopher Viehbacher,2023,4069913
2062,PLTR,Palantir Technologies Inc.,Alexander Karp,2023,3498197
2101,DLTR,"Dollar Tree, Inc.",Richard Dreiling,2023,3360766
2178,PAYC,"Paycom Software, Inc.",Chad Richison,2023,3118606
2180,FAST,Fastenal Co.,Daniel Florness,2023,3115507
2192,ESS,"Essex Property Trust, Inc.",Angela Kleiman,2023,3076648
2204,DELL,Dell Technologies Inc.,Michael Dell,2024,3030405
2311,CPAY,Corpay,Ronald F. Clarke,2023,2669024
2360,WDAY,"Workday, Inc.",Carl Eschenbach,2024,2521664
2475,DFS,Discover Financial Services,John B. Owen,2023,2188651
2537,CPRT,Copart Inc.,Jeffrey Liaw,2023,2009000
2647,NVR,NVR Inc.,Eugene Bredow,2023,1763200
2843,AMZN,Amazon Com Inc.,Andrew Jassy,2023,1357764
3060,EXPE,"Expedia Group, Inc.",Peter Kern,2023,1009900
3506,BRK-B,Berkshire Hathaway Inc.,Warren Buffett,2023,413595
3587,ABNB,"Airbnb, Inc.",Brian Chesky,2023,295125
3663,TTWO,Take Two Interactive Software Inc.,Strauss Zelnick,2023,115015
3681,AXON,Axon Enterprise,Patrick W. Smith,2023,40058
3702,SMCI,"Super Micro Computer, Inc.",Charles Liang,2023,1
3708,TSLA,"Tesla, Inc.",Elon Musk,2023,0
